date,type,desc,tx,tn,sym
2021-08-27 11:51,today, bewölkt,18,10,2.png
2021-08-27 11:51,1-day fc,Regenschauer,17°,10°,10.png
2021-08-27 11:51,2-day fc,leicht bewölkt,17°,9°,2.png
2021-08-27 11:51,3-day fc,Regenschauer,18°,10°,10.png
2021-08-27 11:51,4-day fc,leicht bewölkt,20°,11°,2.png
2021-08-27 11:55,today, bewölkt,18,10,2.png
2021-08-27 11:55,1-day fc,Regenschauer,17°,10°,10.png
2021-08-27 11:55,2-day fc,leicht bewölkt,17°,9°,2.png
2021-08-27 11:55,3-day fc,Regenschauer,18°,10°,10.png
2021-08-27 11:55,4-day fc,leicht bewölkt,20°,11°,2.png
2021-08-27 12:39,today,leicht bewölkt,18,10,2.png
2021-08-27 12:39,1-day fc,Regenschauer,17°,10°,10.png
2021-08-27 12:39,2-day fc,leicht bewölkt,17°,9°,2.png
2021-08-27 12:39,3-day fc,Regenschauer,18°,10°,10.png
2021-08-27 12:39,4-day fc,leicht bewölkt,20°,11°,2.png
2021-08-27 12:42,today,leicht bewölkt,18,10,2.png
2021-08-27 12:42,1-day fc,Regenschauer,17°,10°,10.png
2021-08-27 12:42,2-day fc,leicht bewölkt,17°,9°,2.png
2021-08-27 12:42,3-day fc,Regenschauer,18°,10°,10.png
2021-08-27 12:42,4-day fc,leicht bewölkt,20°,11°,2.png
2021-08-27 19:45,today,leicht bewölkt,18,10,2.png
2021-08-27 19:45,1-day fc,Regenschauer,17°,10°,10.png
2021-08-27 19:45,2-day fc,leicht bewölkt,17°,9°,2.png
2021-08-27 19:45,3-day fc,Regenschauer,18°,10°,10.png
2021-08-27 19:45,4-day fc,leicht bewölkt,20°,11°,2.png
2021-08-30 19:45,today,Regenschauer,18,11,10.png
2021-08-30 19:45,1-day fc,leicht bewölkt,19°,10°,2.png
2021-08-30 19:45,2-day fc,sonnig,21°,9°,1.png
2021-08-30 19:45,3-day fc,sonnig,22°,9°,1.png
2021-08-30 19:45,4-day fc,Regenschauer,21°,11°,10.png
2021-08-31 19:45,today,leicht bewölkt,19,11,2.png
2021-08-31 19:45,1-day fc,sonnig,21°,9°,1.png
2021-08-31 19:45,2-day fc,sonnig,22°,9°,1.png
2021-08-31 19:45,3-day fc,sonnig,22°,11°,1.png
2021-08-31 19:45,4-day fc,Regenschauer,22°,13°,10.png
2021-08-31 20:30,today,leicht bewölkt,19,11,2.png
2021-08-31 20:30,1-day fc,sonnig,21°,9°,1.png
2021-08-31 20:30,2-day fc,sonnig,22°,9°,1.png
2021-08-31 20:30,3-day fc,sonnig,22°,11°,1.png
2021-08-31 20:30,4-day fc,Regenschauer,22°,13°,10.png
2021-09-01 19:45,today,sonnig,21,9,1.png
2021-09-01 19:45,1-day fc,sonnig,22°,9°,1.png
2021-09-01 19:45,2-day fc,sonnig,23°,11°,1.png
2021-09-01 19:45,3-day fc,sonnig,24°,12°,1.png
2021-09-01 19:45,4-day fc,leicht bewölkt,24°,13°,2.png
2021-09-02 19:45,today,sonnig,22,9,1.png
2021-09-02 19:45,1-day fc,sonnig,23°,11°,1.png
