date,type,desc,tx,tn,sym
2021-08-27 12:01,today, bewölkt,23,11,2.png
2021-08-27 12:01,1-day fc,leicht bewölkt,20°,10°,2.png
2021-08-27 12:01,2-day fc,leicht bewölkt,20°,8°,2.png
2021-08-27 12:01,3-day fc,leicht bewölkt,21°,9°,2.png
2021-08-27 12:01,4-day fc,leicht bewölkt,23°,9°,2.png
2021-08-27 12:39,today,leicht bewölkt,23,11,2.png
2021-08-27 12:39,1-day fc,leicht bewölkt,20°,10°,2.png
2021-08-27 12:39,2-day fc,leicht bewölkt,20°,8°,2.png
2021-08-27 12:39,3-day fc,leicht bewölkt,21°,9°,2.png
2021-08-27 12:39,4-day fc,leicht bewölkt,23°,9°,2.png
2021-08-27 12:42,today,leicht bewölkt,23,11,2.png
2021-08-27 12:42,1-day fc,leicht bewölkt,20°,10°,2.png
2021-08-27 12:42,2-day fc,leicht bewölkt,20°,8°,2.png
2021-08-27 12:42,3-day fc,leicht bewölkt,21°,9°,2.png
2021-08-27 12:42,4-day fc,leicht bewölkt,23°,9°,2.png
2021-08-27 19:45,today,leicht bewölkt,23,11,2.png
2021-08-27 19:45,1-day fc,leicht bewölkt,20°,10°,2.png
2021-08-27 19:45,2-day fc,leicht bewölkt,20°,8°,2.png
2021-08-27 19:45,3-day fc,leicht bewölkt,21°,9°,2.png
2021-08-27 19:45,4-day fc,leicht bewölkt,23°,9°,2.png
2021-08-30 19:45,today,leicht bewölkt,21,11,2.png
2021-08-30 19:45,1-day fc,leicht bewölkt,22°,9°,2.png
2021-08-30 19:45,2-day fc,sonnig,24°,8°,1.png
2021-08-30 19:45,3-day fc,leicht bewölkt,25°,9°,2.png
2021-08-30 19:45,4-day fc,leicht bewölkt,24°,10°,2.png
2021-08-31 19:45,today,leicht bewölkt,22,10,2.png
2021-08-31 19:45,1-day fc,sonnig,24°,8°,1.png
2021-08-31 19:45,2-day fc,leicht bewölkt,25°,9°,2.png
2021-08-31 19:45,3-day fc,leicht bewölkt,24°,10°,2.png
2021-08-31 19:45,4-day fc,leicht bewölkt,24°,11°,2.png
2021-08-31 20:31,today,leicht bewölkt,22,10,2.png
2021-08-31 20:31,1-day fc,sonnig,24°,8°,1.png
2021-08-31 20:31,2-day fc,leicht bewölkt,25°,9°,2.png
2021-08-31 20:31,3-day fc,leicht bewölkt,24°,10°,2.png
2021-08-31 20:31,4-day fc,leicht bewölkt,24°,11°,2.png
2021-09-01 19:45,today,leicht bewölkt,24,7,2.png
2021-09-01 19:45,1-day fc,leicht bewölkt,25°,8°,2.png
2021-09-01 19:45,2-day fc,leicht bewölkt,24°,11°,2.png
2021-09-01 19:45,3-day fc,leicht bewölkt,25°,10°,2.png
2021-09-01 19:45,4-day fc,leicht bewölkt,26°,11°,2.png
2021-09-02 19:45,today,leicht bewölkt,25,7,2.png
2021-09-02 19:45,1-day fc,leicht bewölkt,25°,11°,2.png
2021-09-02 19:45,2-day fc,leicht bewölkt,25°,10°,2.png
2021-09-02 19:45,3-day fc,leicht bewölkt,26°,10°,2.png
2021-09-02 19:45,4-day fc,leicht bewölkt,27°,11°,2.png
2021-09-03 19:45,today,leicht bewölkt,25,10,2.png
2021-09-03 19:45,1-day fc,leicht bewölkt,25°,11°,2.png
2021-09-03 19:45,2-day fc,sonnig,26°,10°,1.png
2021-09-03 19:45,3-day fc,leicht bewölkt,27°,10°,2.png
2021-09-03 19:45,4-day fc,sonnig,27°,11°,1.png
2021-09-06 21:07,today,leicht bewölkt,27,10,2.png
2021-09-06 21:07,1-day fc,leicht bewölkt,27°,10°,2.png
2021-09-06 21:07,2-day fc,leicht bewölkt,27°,10°,2.png
2021-09-06 21:07,3-day fc,leicht bewölkt,25°,12°,2.png
2021-09-06 21:07,4-day fc,leicht bewölkt,24°,12°,2.png
