date,type,desc,tx,tn,sym
2021-08-27 12:05,today,nschauer,18,13,10.png
2021-08-27 12:05,1-day fc,Regenschauer,17°,11°,10.png
2021-08-27 12:05,2-day fc,Regenschauer,17°,11°,10.png
2021-08-27 12:05,3-day fc,Regenschauer,18°,11°,10.png
2021-08-27 12:05,4-day fc,Regenschauer,20°,12°,10.png
2021-08-27 12:10,today,Regenschauer,18,13,10.png
2021-08-27 12:10,1-day fc,Regenschauer,17°,11°,10.png
2021-08-27 12:10,2-day fc,Regenschauer,17°,11°,10.png
2021-08-27 12:10,3-day fc,Regenschauer,18°,11°,10.png
2021-08-27 12:10,4-day fc,Regenschauer,20°,12°,10.png
2021-08-27 12:39,today,Regenschauer,18,13,10.png
2021-08-27 12:39,1-day fc,Regenschauer,17°,11°,10.png
2021-08-27 12:39,2-day fc,Regenschauer,17°,11°,10.png
2021-08-27 12:39,3-day fc,Regenschauer,18°,11°,10.png
2021-08-27 12:39,4-day fc,Regenschauer,20°,12°,10.png
2021-08-27 12:42,today,Regenschauer,18,13,10.png
2021-08-27 12:42,1-day fc,Regenschauer,17°,11°,10.png
2021-08-27 12:42,2-day fc,Regenschauer,17°,11°,10.png
2021-08-27 12:42,3-day fc,Regenschauer,18°,11°,10.png
2021-08-27 12:42,4-day fc,Regenschauer,20°,12°,10.png
2021-08-27 19:45,today,Regenschauer,18,13,10.png
2021-08-27 19:45,1-day fc,Regenschauer,17°,11°,10.png
2021-08-27 19:45,2-day fc,Regenschauer,17°,11°,10.png
2021-08-27 19:45,3-day fc,Regenschauer,18°,11°,10.png
2021-08-27 19:45,4-day fc,Regenschauer,20°,12°,10.png
2021-08-30 19:45,today,Regenschauer,17,12,10.png
2021-08-30 19:45,1-day fc,leicht bewölkt,19°,12°,2.png
2021-08-30 19:45,2-day fc,sonnig,21°,11°,1.png
2021-08-30 19:45,3-day fc,sonnig,22°,11°,1.png
2021-08-30 19:45,4-day fc,Regenschauer,22°,13°,10.png
2021-08-31 20:31,today,leicht bewölkt,19,12,2.png
2021-08-31 20:31,1-day fc,sonnig,21°,11°,1.png
2021-08-31 20:31,2-day fc,sonnig,22°,11°,1.png
2021-08-31 20:31,3-day fc,Regenschauer,23°,13°,10.png
2021-08-31 20:31,4-day fc,Regenschauer,23°,14°,10.png
2021-09-01 19:45,today,sonnig,21,11,1.png
2021-09-01 19:45,1-day fc,sonnig,22°,11°,1.png
2021-09-01 19:45,2-day fc,sonnig,23°,13°,1.png
2021-09-01 19:45,3-day fc,sonnig,23°,13°,1.png
2021-09-01 19:45,4-day fc,sonnig,24°,14°,1.png
2021-09-02 19:45,today,sonnig,22,12,1.png
2021-09-02 19:45,1-day fc,leicht bewölkt,24°,13°,2.png
2021-09-02 19:45,2-day fc,sonnig,24°,14°,1.png
2021-09-02 19:45,3-day fc,sonnig,25°,14°,1.png
2021-09-02 19:45,4-day fc,sonnig,24°,14°,1.png
2021-09-03 19:45,today,sonnig,23,13,1.png
2021-09-03 19:45,1-day fc,sonnig,24°,14°,1.png
2021-09-03 19:45,2-day fc,sonnig,24°,13°,1.png
2021-09-03 19:45,3-day fc,sonnig,25°,13°,1.png
2021-09-03 19:45,4-day fc,sonnig,24°,14°,1.png
2021-09-06 21:07,today,sonnig,25,14,1.png
2021-09-06 21:07,1-day fc,sonnig,25°,14°,1.png
2021-09-06 21:07,2-day fc,sonnig,26°,14°,1.png
2021-09-06 21:07,3-day fc,Regenschauer,24°,15°,10.png
2021-09-06 21:07,4-day fc,Regenschauer,23°,15°,10.png
2021-09-07 19:45,today,sonnig,24,14,1.png
2021-09-07 19:45,1-day fc,sonnig,26°,14°,1.png
2021-09-07 19:45,2-day fc,Regenschauer,24°,15°,10.png
2021-09-07 19:45,3-day fc,Gewitter,22°,15°,5.png
2021-09-07 19:45,4-day fc,Gewitter,22°,14°,5.png
2021-09-08 10:42,today,sonnig,26,14,1.png
2021-09-08 10:42,1-day fc,Regenschauer,24°,15°,10.png
2021-09-08 10:42,2-day fc,Gewitter,22°,15°,5.png
2021-09-08 10:42,3-day fc,Gewitter,22°,15°,5.png
2021-09-08 10:42,4-day fc,Regenschauer,21°,14°,10.png
2021-09-09 19:47,today,Regenschauer,24,16,10.png
2021-09-09 19:47,1-day fc,Regenschauer,21°,15°,10.png
2021-09-09 19:47,2-day fc,Regenschauer,22°,15°,10.png
2021-09-09 19:47,3-day fc,leicht bewölkt,22°,14°,2.png
2021-09-09 19:47,4-day fc,leicht bewölkt,22°,14°,2.png
2021-09-12 14:02,today,leicht bewölkt,22,14,2.png
2021-09-12 14:02,1-day fc,sonnig,24°,14°,1.png
2021-09-12 14:02,2-day fc,Regenschauer,23°,15°,10.png
2021-09-12 14:02,3-day fc,Regenschauer,21°,15°,10.png
2021-09-12 14:02,4-day fc,Regenschauer,21°,15°,10.png
2021-09-12 19:46,today,leicht bewölkt,22,14,2.png
2021-09-12 19:46,1-day fc,sonnig,24°,14°,1.png
2021-09-12 19:46,2-day fc,Regenschauer,23°,15°,10.png
2021-09-12 19:46,3-day fc,Regenschauer,21°,15°,10.png
2021-09-12 19:46,4-day fc,Regenschauer,21°,15°,10.png
2021-09-13 19:45,today,sonnig,24,14,1.png
2021-09-13 19:45,1-day fc,Regenschauer,24°,15°,10.png
2021-09-13 19:45,2-day fc,Regenschauer,22°,16°,10.png
2021-09-13 19:45,3-day fc,Gewitter,21°,16°,5.png
2021-09-13 19:45,4-day fc,Gewitter,20°,15°,5.png
2021-09-16 19:45,today,Regenschauer,20,17,10.png
2021-09-16 19:45,1-day fc,Gewitter,20°,14°,5.png
2021-09-16 19:45,2-day fc,Regenschauer,20°,13°,10.png
2021-09-16 19:45,3-day fc,Regenschauer,16°,13°,10.png
2021-09-16 19:45,4-day fc,leicht bewölkt,18°,11°,2.png
2021-09-17 19:45,today,Regenschauer,20,15,10.png
2021-09-17 19:45,1-day fc,leicht bewölkt,20°,13°,2.png
2021-09-17 19:45,2-day fc,Regen,16°,13°,6.png
2021-09-17 19:45,3-day fc,Regenschauer,17°,11°,10.png
2021-09-17 19:45,4-day fc,Regenschauer,16°,11°,10.png
2021-09-18 19:46,today,sonnig,20,12,1.png
2021-09-18 19:46,1-day fc,Regen,16°,13°,6.png
2021-09-18 19:46,2-day fc,leichter Regen,16°,12°,11.png
2021-09-18 19:46,3-day fc,bewölkt,16°,11°,3.png
2021-09-18 19:46,4-day fc,leicht bewölkt,17°,11°,2.png
2021-09-20 19:45,today,Regenschauer,15,10,10.png
2021-09-20 19:45,1-day fc,leicht bewölkt,17°,11°,2.png
2021-09-20 19:45,2-day fc,leicht bewölkt,17°,10°,2.png
2021-09-20 19:45,3-day fc,Nebel,20°,9°,8.png
2021-09-20 19:45,4-day fc,leicht bewölkt,20°,10°,2.png
2021-09-21 19:45,today,leicht bewölkt,17,11,2.png
2021-09-21 19:45,1-day fc,sonnig,17°,10°,1.png
2021-09-21 19:45,2-day fc,Nebel,19°,9°,8.png
2021-09-21 19:45,3-day fc,Nebel,21°,10°,8.png
2021-09-21 19:45,4-day fc,Nebel,21°,10°,8.png
2021-09-24 19:51,today,Nebel,21,10,8.png
2021-09-24 19:51,1-day fc,Nebel,22°,12°,8.png
2021-09-24 19:51,2-day fc,Regenschauer,20°,14°,10.png
2021-09-24 19:51,3-day fc,Gewitter,21°,13°,5.png
2021-09-24 19:51,4-day fc,Regenschauer,18°,12°,10.png
2021-09-26 19:45,today,Regenschauer,20,15,10.png
2021-09-26 19:45,1-day fc,Gewitter,21°,13°,5.png
2021-09-26 19:45,2-day fc,Regenschauer,18°,13°,10.png
2021-09-26 19:45,3-day fc,Regenschauer,18°,13°,10.png
2021-09-26 19:45,4-day fc,leicht bewölkt,16°,9°,2.png
2021-09-27 19:45,today,leicht bewölkt,21,12,2.png
2021-09-27 19:45,1-day fc,Regenschauer,17°,13°,10.png
2021-09-27 19:45,2-day fc,Regenschauer,19°,12°,10.png
2021-09-27 19:45,3-day fc,leicht bewölkt,16°,10°,2.png
