date,type,desc,tx,tn,sym
2021-08-27 11:57,today,ht bewölkt,19,11,2.png
2021-08-27 11:57,1-day fc,Regenschauer,18°,10°,10.png
2021-08-27 11:57,2-day fc,leichter Regen,17°,10°,11.png
2021-08-27 11:57,3-day fc,Regenschauer,18°,11°,10.png
2021-08-27 11:57,4-day fc,Regenschauer,20°,11°,10.png
2021-08-27 11:59,today,ht bewölkt,19,11,2.png
2021-08-27 11:59,1-day fc,Regenschauer,18°,10°,10.png
2021-08-27 11:59,2-day fc,leichter Regen,17°,10°,11.png
2021-08-27 11:59,3-day fc,Regenschauer,18°,11°,10.png
2021-08-27 11:59,4-day fc,Regenschauer,20°,11°,10.png
2021-08-27 12:18,today,leicht bewölkt,19,11,2.png
2021-08-27 12:18,1-day fc,Regenschauer,18°,10°,10.png
2021-08-27 12:18,2-day fc,leichter Regen,17°,10°,11.png
2021-08-27 12:18,3-day fc,Regenschauer,18°,11°,10.png
2021-08-27 12:18,4-day fc,Regenschauer,20°,11°,10.png
2021-08-27 12:35,today,leicht bewölkt,19,11,2.png
2021-08-27 12:35,1-day fc,Regenschauer,18°,10°,10.png
2021-08-27 12:35,2-day fc,leichter Regen,17°,10°,11.png
2021-08-27 12:35,3-day fc,Regenschauer,18°,11°,10.png
2021-08-27 12:35,4-day fc,Regenschauer,20°,11°,10.png
2021-08-27 12:39,today,leicht bewölkt,19,11,2.png
2021-08-27 12:39,1-day fc,Regenschauer,18°,10°,10.png
2021-08-27 12:39,2-day fc,leichter Regen,17°,10°,11.png
2021-08-27 12:39,3-day fc,Regenschauer,18°,11°,10.png
2021-08-27 12:39,4-day fc,Regenschauer,20°,11°,10.png
2021-08-27 12:42,today,leicht bewölkt,19,11,2.png
2021-08-27 12:42,1-day fc,Regenschauer,18°,10°,10.png
2021-08-27 12:42,2-day fc,leichter Regen,17°,10°,11.png
2021-08-27 12:42,3-day fc,Regenschauer,18°,11°,10.png
2021-08-27 12:42,4-day fc,Regenschauer,20°,11°,10.png
2021-08-27 19:45,today,leicht bewölkt,19,11,2.png
2021-08-27 19:45,1-day fc,Regenschauer,18°,10°,10.png
2021-08-27 19:45,2-day fc,leichter Regen,17°,10°,11.png
2021-08-27 19:45,3-day fc,Regenschauer,18°,11°,10.png
2021-08-27 19:45,4-day fc,Regenschauer,20°,11°,10.png
2021-08-30 19:45,today,Regenschauer,18,12,10.png
2021-08-30 19:45,1-day fc,Nebel,19°,11°,8.png
2021-08-30 19:45,2-day fc,sonnig,22°,9°,1.png
2021-08-30 19:45,3-day fc,sonnig,23°,8°,1.png
2021-08-30 19:45,4-day fc,sonnig,23°,10°,1.png
2021-08-31 20:31,today,leicht bewölkt,19,11,2.png
2021-08-31 20:31,1-day fc,sonnig,22°,9°,1.png
2021-08-31 20:31,2-day fc,sonnig,23°,8°,1.png
2021-08-31 20:31,3-day fc,sonnig,24°,10°,1.png
2021-08-31 20:31,4-day fc,leicht bewölkt,24°,12°,2.png
2021-09-01 19:45,today,sonnig,22,9,1.png
2021-09-01 19:45,1-day fc,sonnig,23°,8°,1.png
2021-09-01 19:45,2-day fc,Nebel,24°,9°,8.png
2021-09-01 19:45,3-day fc,sonnig,25°,11°,1.png
2021-09-01 19:45,4-day fc,Nebel,25°,12°,8.png
2021-09-02 19:45,today,sonnig,23,8,1.png
2021-09-02 19:45,1-day fc,Nebel,24°,9°,8.png
2021-09-02 19:45,2-day fc,Nebel,25°,10°,8.png
2021-09-02 19:45,3-day fc,Nebel,25°,11°,8.png
2021-09-02 19:45,4-day fc,Nebel,26°,12°,8.png
2021-09-03 19:45,today,sonnig,25,9,1.png
2021-09-03 19:45,1-day fc,Nebel,25°,10°,8.png
2021-09-03 19:45,2-day fc,Nebel,25°,10°,8.png
2021-09-03 19:45,3-day fc,sonnig,25°,10°,1.png
2021-09-03 19:45,4-day fc,Nebel,26°,12°,8.png
2021-09-06 21:07,today,sonnig,26,11,1.png
2021-09-06 21:07,1-day fc,Nebel,26°,11°,8.png
2021-09-06 21:07,2-day fc,Nebel,26°,10°,8.png
2021-09-06 21:07,3-day fc,leicht bewölkt,25°,14°,2.png
2021-09-06 21:07,4-day fc,Regenschauer,24°,14°,10.png
2021-09-07 19:45,today,sonnig,26,10,1.png
2021-09-07 19:45,1-day fc,sonnig,27°,10°,1.png
2021-09-07 19:45,2-day fc,Regenschauer,25°,14°,10.png
2021-09-07 19:45,3-day fc,Regenschauer,23°,14°,10.png
2021-09-07 19:45,4-day fc,Gewitter,23°,13°,5.png
2021-09-08 10:42,today,sonnig,26,10,1.png
2021-09-08 10:42,1-day fc,Regenschauer,25°,14°,10.png
2021-09-08 10:42,2-day fc,Regenschauer,23°,14°,10.png
2021-09-08 10:42,3-day fc,Regenschauer,22°,14°,10.png
2021-09-08 10:42,4-day fc,Nebel,23°,12°,8.png
2021-09-09 19:47,today,leicht bewölkt,25,14,2.png
2021-09-09 19:47,1-day fc,Regenschauer,22°,14°,10.png
2021-09-09 19:47,2-day fc,Regenschauer,22°,14°,10.png
2021-09-09 19:47,3-day fc,Nebel,23°,12°,8.png
2021-09-09 19:47,4-day fc,Nebel,24°,12°,8.png
